Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,target
0.09649362690643455,0.10673113929028201,0.08920476018101028,0.1297189717655893,0.16594586487767854,0.1984389987215402,0.10764181956398888,0.10582481869347622,0
0.022036391006668755,0.024554290568986937,0.025769056074592223,0.02583725598034275,0.02681265626951539,0.03859657645937633,0.1532486187054272,0.6831451549350905,0
0.17228526454888196,0.167948984923079,0.16616746304904112,0.11813276534868067,0.10432026933809109,0.09911716283982804,0.0674404415109728,0.10458764844142532,0
0.16368473170712508,0.14183141300886984,0.15932401224963771,0.1597616064816516,0.12264674553853384,0.09090512640627625,0.0650700716771542,0.09677629293075152,0
0.1592203275381154,0.13815153450176898,0.1332276936484447,0.16281768148413048,0.10018643648966441,0.07869106555083322,0.07978506925648778,0.14792019153055502,0
0.11314865855073439,0.14067983536486153,0.1270534711283012,0.12358305359393751,0.1346372715231013,0.0917404125055719,0.07874771263059377,0.19040958470289837,0
0.11206865486006348,0.11961903507482832,0.0884930760262112,0.10069792434066736,0.08812302653367968,0.08353431792502777,0.12461458158425437,0.28284938365526785,0
0.03696517224551015,0.052198747868027334,0.05520263654255273,0.0467225525850222,0.05889273645456227,0.056044578350894485,0.12149342022576613,0.5724801557276648,0
0.02836147945327589,0.025968705939286085,0.020603860498220685,0.020563572386850873,0.03056430578017976,0.05035833129573077,0.14015927549167156,0.6834204691547843,0
0.08597667645345101,0.10410038672856864,0.08452016133194509,0.12394838095962676,0.1804129430709673,0.16360528156681944,0.12158972377194528,0.13584644611667637,0
0.11480392377692837,0.0750664262754436,0.07026191755674392,0.08997583495551974,0.09902541672626952,0.08426648099730179,0.1611525830555116,0.30544741665628156,0
0.09274408424911466,0.08222856033466558,0.08622070600402224,0.10880243304242447,0.13496651764573717,0.16481146010821202,0.11077989038902146,0.21944634822680245,0
0.05839993984197315,0.07245331407401148,0.06684604571284938,0.060899211924221285,0.07683179784618635,0.11968405453083396,0.2000354399535742,0.34485019611635026,0
0.05307322527443916,0.05512326505728623,0.046953130929786924,0.06901833001720775,0.07115365151231794,0.105470838174767,0.1699429572683554,0.4292646017658396,0
0.02898768205680968,0.03290162798047549,0.04312900152795777,0.04112648754853009,0.04146546241746474,0.06258151823467581,0.17622141145919787,0.5735868087748887,0
0.048269689968568875,0.05624424192817022,0.060108402895633954,0.04816882026710904,0.061807429413727376,0.08620834345561794,0.2093999818613824,0.42979309020979006,0
0.07328482500738073,0.08138167005723956,0.06459257368840549,0.07268991179247285,0.08441556165665427,0.103434751734402,0.18050605848645812,0.33969464757698703,0
0.04182411894883356,0.04402385505933875,0.03802820164905186,0.0490227205259932,0.05300939383740666,0.05757628366954471,0.15488413607732499,0.5616312902325064,0
0.06707173429495004,0.06594741030617167,0.06984185654066283,0.06263697136682449,0.06703412666164175,0.09394284809915085,0.15142808060355806,0.4220969721270403,0
0.07309687359746644,0.06711495754962632,0.04885234908920542,0.08273696632283267,0.08352413798769676,0.09536415558711646,0.21289293395245584,0.33641762591359997,0
0.06636490833201443,0.06823295178856842,0.04660505051880628,0.06581942969327192,0.06109246947455364,0.09060406321386193,0.19783619080726414,0.40344493617165933,0
0.02298157464382186,0.03946939028713743,0.03625822393764459,0.031574711362671606,0.05185294576445964,0.05427037309692166,0.18968918517742167,0.5739035957299216,0
0.05824394957096352,0.08606928452475728,0.06133248688472664,0.09196864556734831,0.07550903581424147,0.09466355527064275,0.17452346456768678,0.3576895777996333,0
0.04784609148972622,0.05563150770489302,0.046169222530254156,0.05856791282596412,0.054217933675816156,0.07485779564935183,0.17617661578929386,0.4865329203347007,0
0.03493808854522711,0.04305230020915511,0.05835480689917348,0.04133111290104025,0.04343860980869033,0.06412362460227496,0.2138001630635337,0.5009612939709052,0
0.03311352832376549,0.03069097585349321,0.023333398971366878,0.04336165916508884,0.04437188661794345,0.09352028397228948,0.19875317591458724,0.5328550911814653,0
0.047384112458816484,0.03279333231234123,0.026986445520895394,0.0356381129763549,0.05060710401490853,0.052355746078037994,0.19856679494601068,0.5556683516926347,0
0.04186421936931766,0.052574332650080983,0.06373283309819774,0.040695893237874474,0.07342276653513025,0.09286323355904683,0.19368116346262584,0.4411655580877263,0
0.02407370886863192,0.0454385973970434,0.03046417810811427,0.03855529240290217,0.04060159443488793,0.06219658420870985,0.22095333937732295,0.5377167052023873,0
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,0
0.08709127623648777,0.060843328562836814,0.05515671118981308,0.03013514007650871,0.035035217880625046,0.08252233890145484,0.1786228811136352,0.4705931060386386,0
0.08820763605692308,0.08751263193611086,0.08547472541364018,0.05827503194742883,0.057688367856307994,0.10136626636328343,0.1379341082739766,0.3835412321523291,0
0.03119359739102159,0.04150883251512055,0.03544923168989984,0.05476125401287887,0.04773954219270554,0.058141734145281176,0.12466019002933368,0.6065456180237588,0
0.10492894300733079,0.055331449797291626,0.05879188154397937,0.05902433040340097,0.09884376036014285,0.09163655958671758,0.1752787988472298,0.356164276453907,0
0.06273874135126156,0.06205140894635599,0.055986899821232276,0.04398207403706987,0.03945589625985486,0.1097684715423899,0.13181519273197798,0.4942013153098575,0
