Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,target
0.07091458878896466,0.05821679924275043,0.04654320612963451,0.07201951855109348,0.09370501176353027,0.11413410259178336,0.20121011972531466,0.34325665320692855,1
0.07811119702102906,0.09451040814067965,0.12958517350923032,0.107337097516892,0.1510418212597496,0.2011895692456781,0.11559770733594502,0.12262702597079626,1
0.08863106331429041,0.1222540218835177,0.07738260945319626,0.08957336296042645,0.136348992089103,0.2047525878980472,0.1421127433907178,0.13894461901070124,1
0.11372299431002643,0.09537285058041942,0.10683909500802395,0.10163842867047673,0.16694929146002654,0.1773004584332683,0.12913479926552882,0.10904208227222978,1
0.07888076653504135,0.07302341031094002,0.08428844903795868,0.09466266787288266,0.10390906945999946,0.13138933096974692,0.203966405122892,0.22987990069053885,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.11372299431002643,0.09537285058041942,0.10683909500802395,0.10163842867047673,0.16694929146002654,0.1773004584332683,0.12913479926552882,0.10904208227222978,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.0791107344794704,0.08695419473724673,0.09032783522439397,0.11571202499285618,0.09718433810002977,0.15337266899349192,0.18449270538593668,0.19284549808657434,1
0.07872313360788685,0.08569779408950833,0.07982898872678182,0.09886532113450715,0.10639517366663437,0.15685773466638886,0.1328447694571992,0.2607870846510934,1
0.10357882210902908,0.09452430273708018,0.09936156547447555,0.09759214174713576,0.15083886824046214,0.1932579858343916,0.13028385271285256,0.13056246114457307,1
0.08423855273932235,0.10268017126614226,0.10096385489475325,0.10784749984012612,0.13629518314194367,0.18750630764628076,0.13954231423476512,0.1409261162366665,1
0.09444815051883942,0.09734087591332895,0.10096404512285641,0.11913149590388641,0.12199356069484013,0.1855997650896035,0.14743245040930425,0.133089656347341,1
0.10114818049776797,0.08693013719439044,0.14743719949921807,0.10030158494087923,0.13906830302321066,0.17428566061131176,0.12577030718146634,0.12505862705175544,1
0.08702833685272429,0.08366567107051198,0.09573612269545523,0.10655134381518797,0.14068603263770907,0.1944235723974762,0.14096398661024587,0.15094493392068936,1
0.08686224752771664,0.0875384814245006,0.11277060386346373,0.11028160047898634,0.15218564717218422,0.1870732876234908,0.13279790676868333,0.13049022514097453,1
0.08322419840246235,0.08834092557509152,0.0979031775156747,0.11028334279480785,0.1516760509976506,0.200445577403531,0.1289910889374767,0.13913563837330542,1
0.0754035886831134,0.08650645923153877,0.08494697273542719,0.07533190228673635,0.07885456995667733,0.14331201931477242,0.1784605060690981,0.27718398172263653,1
0.10382013049694061,0.11694136232831866,0.11029045430035618,0.13699232314879095,0.15372545911073948,0.16183587771126237,0.11783961449944433,0.09855477840414746,1
0.0923902198837556,0.12167045717933854,0.11424341266031109,0.11259008594631995,0.1519552151546254,0.1738771783989848,0.12483167995217989,0.10844175082448476,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.07104106614004245,0.05850666843467119,0.0925533752633853,0.08188987774410675,0.08433601626191159,0.10512970972357683,0.172930348433435,0.3336129379988709,1
0.083263698272391,0.08923824614996433,0.08386388919891699,0.0733044475948421,0.09407036949856697,0.1301811400173354,0.21089929253401016,0.23517891673397295,1
0.07091458878896466,0.05821679924275043,0.04654320612963451,0.07201951855109348,0.09370501176353027,0.11413410259178336,0.20121011972531466,0.34325665320692855,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.1081026021999237,0.10133700739100068,0.1121499178215541,0.10499244628967763,0.1395200209389482,0.1854773393042429,0.12272044595156813,0.12570022010308474,1
0.09457129799325371,0.11554584713615526,0.09848259294459304,0.11799766645894043,0.1253109815089463,0.19581412035415482,0.13493951864884365,0.11733797495511286,1
0.08863106331429041,0.1222540218835177,0.07738260945319626,0.08957336296042645,0.136348992089103,0.2047525878980472,0.1421127433907178,0.13894461901070124,1
0.040880167107644874,0.03792907903130952,0.04368390407179522,0.038703997396768615,0.0398620320542626,0.05543306411558862,0.09944643972153125,0.6440613165010992,1
0.1070625588799707,0.11749263013704263,0.10524768035938385,0.10161912450855728,0.12644524976770014,0.19547577527941362,0.12756127342852364,0.11909570763940809,1
0.07811119702102906,0.09451040814067965,0.12958517350923032,0.107337097516892,0.1510418212597496,0.2011895692456781,0.11559770733594502,0.12262702597079626,1
